EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
61303,Williams,Brandon,NYG,CB,28,28,200,72,5,Texas A&M
56194,Fitzpatrick,Minkah,PTS,S,39,23,207,73,3,Alabama
56675,Robinson II,Reggie,DLC,CB,41,23,200,73,0,Tulsa
10754,Woods,Josh,CHB,LB,55,24,236,73,2,Maryland
49169,Nassib,Carl,LVR,DE,94,27,275,79,5,Penn State
83108,Michel,Marken,CAP,WR,83,27,191,71,1,Massachusetts
64033,Reaves,Jeremy,WAS,S,39,24,205,71,2,South Alabama
37385,Taylor,Jawaan,JKJ,OT,75,22,312,77,2,Florida
93428,Taumoepenu,Pita,ATF,LB,52,26,245,73,2,Utah
17775,Keene,Dalton,NEP,TE,44,21,251,76,0,Virginia Tech
21249,Sims Jr.,Steven,WAS,WR,15,23,190,70,2,Kansas
86361,Cruikshank,Dane,TNT,CB,29,25,209,73,3,Arizona
70461,Turner,Trai,LAC,G,70,27,315,75,7,LSU
28124,Dieter,Gehrig,KCC,WR,12,27,208,75,2,Alabama
81161,Bryant,Myles,NEP,CB,41,22,185,69,0,Washington
86773,Cousins,Kirk,MNV,QB,8,32,202,75,9,Michigan State
96339,Moore II,Kenny,INC,CB,23,25,190,69,4,Valdosta State
97001,Cushenberry III,Lloyd,DVB,C,79,22,315,76,0,LSU
46493,Young,Kenny,LAR,LB,41,25,234,73,3,UCLA
30722,Taylor,Jamar,SFN,CB,47,30,192,71,8,Boise State
99400,Williams,Trent,SFN,OT,71,32,320,77,10,Oklahoma
65845,Lewis,Marcedes,GBP,TE,89,36,267,78,15,UCLA
93824,Shell,Brandon,STS,OT,72,28,324,77,5,South Carolina
41536,Cobb,Randall,HST,WR,18,30,195,70,10,Kentucky
56493,Samuel,Curtis,CAP,WR,10,24,195,71,4,Ohio State
74299,Moore,C.J.,DTL,S,49,24,195,71,2,Ole Miss
82867,Wolford,John,LAR,QB,9,25,200,73,1,Wake Forest
96836,Jones,DaQuan,TNT,DT,90,28,322,76,7,Penn State
95359,Gonzalez,Zane,AZC,K,5,25,202,72,4,Arizona State
99327,Hurts,Jalen,PHE,QB,2,22,223,73,0,Oklahoma
89120,Mayo,David,NYG,LB,55,27,240,74,6,Texas State
23419,Witzmann,Bryan,KCC,G,68,30,320,79,6,South Dakota State
23317,Johnson,Ty,NYJ,RB,25,23,210,70,2,Maryland
22140,Homer,Travis,STS,RB,25,22,202,70,2,Miami (FL)
40810,Fant,Noah,DVB,TE,87,22,249,76,2,Iowa
69072,Sample,Drew,CNB,TE,89,24,258,76,2,Washington
70179,Griffin,Ryan,TBB,QB,4,30,210,77,7,Tulane
65919,Karras,Ted,MMD,C,67,27,305,76,5,Illinois
85096,Daniels,Mike,CNB,DT,76,31,310,72,9,Iowa
65358,Brown,Pharaoh,HST,TE,85,26,258,78,3,Oregon
98316,Williams,Maxx,AZC,TE,87,26,252,76,6,Minnesota
49824,Jones,Jonathan,NEP,CB,31,27,190,70,5,Auburn
94126,Jackson,Malik,PHE,DT,97,30,290,77,9,Tennessee
60003,Orr,Kareem,TNT,CB,20,23,195,71,1,Chattanooga
68606,Kelly,Ryan,INC,C,78,27,307,76,5,Alabama
43381,Newton,Cam,NEP,QB,1,31,245,77,10,Auburn
80917,David,Lavonte,TBB,LB,54,30,233,73,9,Nebraska
27049,Lewis,Tyquan,INC,DE,94,25,277,75,3,Ohio State
45864,Parkinson,Colby,STS,TE,84,21,251,79,0,Stanford
16139,Dunn,Brandon,HST,DT,92,28,310,74,5,Louisville
86842,Clayborn,Adrian,CLB,DE,94,32,280,75,10,Iowa
69181,Benjamin,Eno,AZC,RB,26,21,207,69,0,Arizona State
65428,Slade,Chad,NYG,G,62,28,315,77,3,Auburn
90985,Hines,Nyheim,INC,RB,21,23,196,69,3,North Carolina State
18406,Glennon,Mike,JKJ,QB,2,30,225,79,8,North Carolina State
14360,Hartsfield,Myles,CAP,CB,38,23,210,71,0,Ole Miss
78144,Reed,Joe,LAC,WR,12,22,224,72,0,Virginia
44673,Bitonio,Joel,CLB,G,75,29,320,76,7,Nevada
80807,Houston,Justin,INC,DE,50,31,270,75,10,Georgia
65409,Jones,Chris,KCC,DT,95,26,310,78,5,Mississippi State
35872,Stanley,Jayson,STS,CB,39,23,207,74,1,Georgia
12195,Johnson,Tyron,LAC,WR,83,24,193,73,1,Oklahoma State
66664,Berrios,Braxton,NYJ,WR,10,25,190,69,3,Miami (FL)
63185,Sternberger,Jace,GBP,TE,87,24,251,76,2,Texas A&M
79367,Pruitt,MyCole,TNT,TE,85,28,245,74,5,Southern Illinois
22175,Sweat,Montez,WAS,DE,90,24,262,78,2,Mississippi State
68666,Jenkins,Rayshawn,LAC,S,23,26,220,73,4,Miami (FL)
43418,Janovich,Andy,CLB,FB,31,27,238,73,5,Nebraska
41944,James,Craig,PHE,CB,39,24,195,70,2,Southern Illinois
54038,Morris,Alfred,NYG,RB,41,31,222,70,8,Florida Atlantic
20305,Andrews,Mark,BLR,TE,89,25,256,77,3,Oklahoma
19150,Olszewski,Gunner,NEP,WR,80,23,190,72,2,Bemidji State
61791,Kindley,Solomon,MMD,G,66,23,339,76,0,Georgia
34652,Murphy-Bunting,Sean,TBB,CB,23,23,195,72,2,Central Michigan
13471,Schaub,Matt,ATF,QB,8,39,245,78,17,Virginia
73246,Wharton,Tershawn,KCC,DT,98,22,255,76,0,Missouri S & T
59753,McCloud,Ray-Ray,PTS,WR,14,24,190,69,3,Clemson
81910,Mitchell,Terrance,CLB,CB,39,28,191,71,7,Oregon
71717,Armstrong,Dorance,DLC,DE,92,23,260,76,3,Kansas
51132,Ward,Jonathan,AZC,RB,38,23,202,72,0,Central Michigan
97704,Crawley,Ken,NOS,CB,25,27,180,73,5,Colorado
21009,Wilkins,Jordan,INC,RB,20,26,216,73,3,Ole Miss
34214,Green,A.J.,CNB,WR,18,32,210,76,10,Georgia
52934,Rochell,Isaac,LAC,DE,98,25,280,76,3,Notre Dame
78387,Gono,Matt,ATF,OT,73,24,305,76,3,
43825,Murphy,Trent,BFB,DE,93,29,260,78,7,Stanford
87768,Grasu,Hroniss,SFN,C,50,29,301,75,6,Oregon
60000,Harris,Charles,ATF,DE,92,25,252,75,4,Missouri
79677,Hewitt,Neville,NYJ,LB,46,27,234,74,6,Marshall
16830,Davis,Carlos,PTS,DT,73,24,320,74,0,Nebraska
21535,Grugier-Hill,Kamu,MMD,LB,51,26,223,74,5,Eastern Illinois
65855,Ferguson,Reid,BFB,LS,69,26,235,74,4,LSU
50165,Brailford,Jordan,MNV,DE,67,25,252,75,2,Oklahoma State
74687,Mayfield,Baker,CLB,QB,6,25,215,73,3,Oklahoma
30568,Pratt,Germaine,CNB,LB,57,24,245,75,2,North Carolina State
38837,Hurst,Maurice,LVR,DT,73,25,291,73,3,Michigan
15993,Roy,Bravvion,CAP,DT,93,24,330,73,0,Baylor
80609,Kamara,Alvin,NOS,RB,41,25,215,70,4,Tennessee
62342,Jackson,Joe,CLB,DE,91,23,275,76,2,Miami (FL)
97561,Muti,Netane,DVB,G,52,21,315,75,0,Fresno State
31135,Reddick,Haason,AZC,LB,43,26,235,73,4,Temple
28156,Amadi,Ugo,STS,S,28,23,201,69,2,Oregon
61328,Mills,Jalen,PHE,S,21,26,191,72,5,LSU
76222,Hyde,Carlos,STS,RB,30,30,229,72,7,Ohio State
79678,Watt,Derek,PTS,FB,44,28,234,74,5,Wisconsin
64542,Ham,C.J.,MNV,FB,30,27,235,71,4,Augustana (SD)
98924,Graham,Brandon,PHE,DE,55,32,265,74,11,Michigan
32940,Edwards-Helaire,Clyde,KCC,RB,25,21,209,68,0,LSU
25830,Gustin,Porter,CLB,DE,97,23,257,77,2,USC
52825,McCown,Josh,HST,QB,,41,218,76,18,Sam Houston State
76485,Williams,DeShawn,DVB,DT,90,27,292,73,2,Clemson
38317,Smith,Lee,BFB,TE,85,32,265,78,10,Marshall
40472,Bourne,Kendrick,SFN,WR,84,25,190,73,4,Eastern Washington
28080,Simon,John,NEP,DE,55,30,260,74,8,Ohio State
76988,Taylor,Malik,GBP,WR,86,24,220,73,1,Ferris State
99101,Davis,Gabriel,BFB,WR,13,21,210,74,0,UCF
44272,Merritt,Kirk,MMD,WR,83,23,208,72,0,Arkansas State
87115,Edwards,Gus,BLR,RB,35,25,238,73,3,Rutgers
28985,Humphries,Adam,TNT,WR,10,27,195,71,6,Clemson
33303,Oliver,Isaiah,ATF,CB,26,24,210,72,3,Colorado
43515,Cox,Morgan,BLR,LS,46,34,235,76,11,Tennessee
55230,Gay,Willie,KCC,LB,50,22,243,73,0,Mississippi State
60338,Reeves-Maybin,Jalen,DTL,LB,44,25,233,73,4,Tennessee
30108,Smith,Donovan,TBB,OT,76,27,338,78,6,Penn State
24918,Knox,Dawson,BFB,TE,88,23,254,76,2,Ole Miss
87510,Hager,Bryce,NYJ,LB,58,28,237,73,6,Baylor
32249,Wilson,Tavon,INC,S,31,30,208,72,9,Illinois
50110,Tagovailoa,Tua,MMD,QB,1,22,217,72,0,Alabama
74719,Ballage,Kalen,LAC,RB,29,24,231,74,3,Arizona State
28289,Jones,Sidney,JKJ,CB,35,24,181,72,3,Washington
20603,Samuel,Deebo,SFN,WR,19,24,215,72,2,South Carolina
65196,McSorley,Trace,BLR,QB,7,25,202,72,2,Penn State
94429,St. Louis,Tyree,LAC,OT,73,23,315,77,1,Miami (FL)
97243,Layne,Justin,PTS,CB,31,22,192,74,2,Michigan State
81811,White,Tre'Davious,BFB,CB,27,25,192,71,4,LSU
26377,Bartch,Ben,JKJ,OT,78,22,309,78,0,St. John's
27514,McLendon,Steve,TBB,DT,96,34,310,75,11,Troy
63303,Jones,Deion,ATF,LB,45,26,222,73,5,LSU
92882,Neal,Siran,BFB,CB,33,26,206,72,3,Jacksonville State
78171,Ankou,Eli,DLC,DT,,26,325,75,4,UCLA
19685,Diggs,Quandre,STS,S,37,27,198,69,6,Texas
39740,Russell,Chapelle,TBB,LB,53,23,236,74,0,Temple
19611,Heck,Charlie,HST,OT,67,23,311,80,0,North Carolina
67726,Wesco,Trevon,NYJ,TE,85,25,267,75,2,West Virginia
73065,Weeks,Jon,HST,LS,46,34,242,70,11,Baylor
87466,Stinnie,Aaron,TBB,G,64,26,312,75,3,James Madison
52047,Manhertz,Chris,CAP,TE,82,28,255,78,5,Canisius
26327,McLeod,Rodney,PHE,S,23,30,195,70,9,Virginia
62827,Dawson Jr.,Duke,DVB,CB,20,25,198,70,3,Florida
15579,Jack,Myles,JKJ,LB,44,25,244,73,5,UCLA
64401,Edmonds,Chase,AZC,RB,29,24,210,69,3,Fordham
49951,Brown,Anthony,DLC,CB,30,26,188,71,5,Purdue
45099,Johnson,Diontae,PTS,WR,18,24,183,70,2,Toledo
62438,Sanders,Miles,PHE,RB,26,23,211,71,2,Penn State
68431,Thompson,Chris,JKJ,RB,34,30,195,68,7,Florida State
70382,Johnson,Duke,HST,RB,25,27,210,69,6,Miami (FL)
13080,Quessenberry,David,TNT,G,72,30,310,77,2,San Jose State
23305,Mazza,Cole,LAC,LS,45,25,247,73,2,Alabama
29348,Edwards,David,LAR,OT,73,23,308,78,2,Wisconsin
73157,Jordan,Dion,SFN,DE,96,30,284,78,6,Oregon
88090,Hall,P.J.,HST,DT,96,25,305,72,3,Sam Houston State
44822,Kinlaw,Javon,SFN,DT,99,23,319,77,0,South Carolina
73728,Ford,Isaiah,NEP,WR,84,24,201,74,3,Virginia Tech
28151,Coutee,Keke,HST,WR,16,23,187,71,3,Texas Tech
